"REF_DATE","GEO","DGUID","Labour productivity measures and related variables","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-04","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","101.219","","","","3"
"2016-07","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","111.297","","","","3"
"2016-10","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","115.629","","","","3"
"2017-01","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","117.953","","","","3"
"2017-04","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","118.025","","","","3"
"2017-07","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","119.577","","","","3"
"2017-10","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","117.767","","","","3"
"2018-01","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","121.812","","","","3"
"2018-04","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","125.822","","","","3"
"2018-07","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","127.157","","","","3"
"2018-10","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","123.150","","","","3"
"2019-01","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","116.658","","","","3"
"2019-04","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","124.322","","","","3"
"2019-07","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","117.494","","","","3"
"2019-10","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","116.175","","","","3"
"2020-01","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","114.670","","","","3"
"2020-04","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","98.649","","","","3"
